gene,cancer_related,label,cancer_pathway,protein_type,subcellular_location,description
PRAMEF32P,No,No,,Pseudogene,N/A,Potential involvement in transcriptional regulation.
RNU6-771P,No,No,,RNA,Nucleus,Functions in splicing as part of the spliceosome complex.
PRAMEF8,No,No,,Pseudogene,N/A,Potential role in regulating immune responses.
PRAMEF33,No,Oncogene,Various Cancer Types,PRAME family protein,Cytoplasm,Regulates immune response to tumors
PRAMEF15,No,Oncogene,Various Cancer Types,PRAME family protein,Cytoplasm,Involved in cancer-related immune evasion
PRAMEF13,No,Oncogene,Various Cancer Types,PRAME family protein,Cytoplasm,Modulates immune system activity
PRAMEF18,No,Oncogene,Various Cancer Types,PRAME family protein,Cytoplasm,Immunogenic properties in cancer
PRAMEF14,No,Oncogene,Various Cancer Types,PRAME family protein,Cytoplasm,Potential role in tumor immune evasion
PRAMEF19,No,Oncogene,Various Cancer Types,PRAME family protein,Cytoplasm,Enhances tumor recognition by the immune system
PRAMEF17,No,Oncogene,Various Cancer Types,PRAME family protein,Cytoplasm,Involvement in immune modulation
PRAMEF20,No,Oncogene,Various Cancer Types,PRAME family protein,Cytoplasm,Similar role in immune response
LRRC38,No,Unknown,,Leucine-rich repeat,Membrane/Cytoplasm,Role in cell signaling
BRWD1P1,No,Unknown,,BRWD1 family protein,Nucleus/Cytoplasm,Potential role in chromatin remodeling
PDPN,Yes,Oncogene,Cancer Metastasis,Glycoprotein,Membrane,Promotes tumor cell migration
RNA5SP41,No,Unknown,,Small RNA,Nucleus,Potential non-coding RNA role in regulation of gene expression
PRDM2,Yes,Tumor Suppressor,Various Cancer Types,Zinc-finger protein,Nucleus,Regulates gene expression; involved in cell differentiation
RNU6-1265P,No,Unknown,,Small RNA,Nucleus,Potential role in RNA splicing
KAZN-AS1,No,Unknown,,Non-coding RNA,Nucleus,Regulation of adjacent genes
KAZN,No,Unknown,,KAZN protein,Membrane/Cytoplasm,Potential role in signaling pathways
TBCAP2,Yes,Unknown,Various Cancer Types,Tubulin-Binding Protein,Cytoplasm,Involved in microtubule dynamics
TMEM51-AS1,No,Unknown,,Non-coding RNA,Nucleus,Regulation of TMEM51 expression
TMEM51,No,Unknown,,Transmembrane protein,Membrane,Role in cell signaling and metabolism
TMEM51-AS2,No,Unknown,,Non-coding RNA,Nucleus,Regulation of gene expression related to TMEM51
MFFP1,No,Tumor Suppressor,,Protein,Mitochondria,Involved in mitochondrial dynamics and apoptosis
FHAD1,No,Oncogene,Metabolism,Protein,Cytoplasm,Involved in fatty acid metabolism
FHAD1-AS1,No,Non-coding RNA,,Long non-coding RNA,Nucleus,Regulates gene expression; potential role in lncRNA
EFHD2,No,Oncogene,,Protein,Cytoplasm,May play a role in cell signaling and calcium homeostasi
CTRC,No,Tumor suppressor,Digestive System,Serine protease,Extracellular,Involved in protein digestion and immune response
CELA2A,No,Tumor Suppressor,Gastrointestinal Cancer,Serine protease,Extracellular,Digests proteins; related to pancreatic function
CELA2B,No,Tumor Suppressor,Gastrointestinal Cancer,Serine protease,Extracellular,Related to digestion and pancreatic function
CASP9,Yes,Tumor Suppressor,Apoptosis,Cysteine protease,"Cytoplasm, Mitochondria",Initiates apoptosis; critical for programmed cell death
DNAJC16,No,Oncogene,,Chaperone protein,Cytoplasm,Assists in protein folding and stress response
SCARNA21B,No,Non-coding RNA,,Small Cajal body RNA,Nucleus,Involved in RNA processing and modification
AGMAT,No,Oncogene,Metabolism,Enzyme,Cytoplasm,Involved in the urea cycle and polyamine metabolism
CHCHD2P6,No,Non-coding RNA,,Long non-coding RNA,Nucleus,Potential regulatory role in gene expression
RNU7-179P,No,Non-coding RNA,,Small nuclear RNA,Nucleus,Part of the spliceosome; involved in mRNA splicing
CD24P1,No,Non-coding RNA,,Long non-coding RNA,Nucleus,May play a role in regulating immune responses
DDI2,No,Oncogene,,Protease,Cytoplasm,Involved in protein degradation and processing
RSC1A1,No,Tumor Suppressor,,Protein,Cytoplasm,Potential role in cellular signaling
PLEKHM2,No,Tumor Suppressor,Autophagy,Protein,Cytoplasm,Regulates autophagy and lysosomal trafficking
SLC25A34,No,Tumor Suppressor,Mitochondrial Metabolism,Transporter protein,Mitochondria,Involved in metabolite transport across mitochondrial membrane
SLC25A34-AS1,No,Non-coding RNA,,Long non-coding RNA,Nucleus,"Regulatory role, potentially involved in metabolism"
TMEM82,No,Oncogene,,Membrane protein,Endoplasmic reticulum,Involved in cellular stress response and development
FBLIM1,Yes,Tumor suppressor,Cell Signaling,Scaffold protein,Cytoplasm,Involved in cytoskeletal organization and cell adhesion.
RPL12P14,No,Neither,,Ribosomal protein,Nucleus,"Component of ribosomes, involved in protein synthesis."
UQCRHL,Yes,Neither,Mitochondrial Electron Transport,Mitochondrial protein,Mitochondria,Plays a role in the electron transport chain.
SPEN,Yes,Tumor suppressor,Wnt Signaling ,Transcription factor,Nucleus,Regulates gene expression related to cell proliferation.
ZBTB17,Yes,Either,Tumor Suppressor ,Zinc-finger protein,Nucleus,Involved in transcriptional regulation and differentiation.
TBC1D3P6,No,Neither,,Rab GTPase-activating protein,Cytoplasm,Potential regulatory roles in vesicle trafficking.
SRARP,No,Neither,,Protein,Cytoplasm,May play a role in cytoskeletal dynamics.
HSPB7,No,Neither,Cellular Stress Response,Heat shock protein,Cytoplasm,Protects against cellular stress and aids in protein folding.
CLCNKA,No,Neither,Ion Transport ,Ion channel,Plasma membrane,Involved in chloride ion transport across membranes.
CLCNKB,No,Neither,Ion Transport ,Ion channel,Plasma membrane,"Similar to CLCNKA, but expressed in different tissues."
FAM131C,No,Neither,,Protein,Cytoplasm,Involved in cellular signaling and organization.
EPHA2,Yes,Oncogene,Receptor Tyrosine Kinase ,Receptor,Plasma membrane,Mediates cell-cell adhesion and signaling in cancer.
ARHGEF19,Yes,Oncogene,Rho Gtpase Signaling,Guanine nucleotide exchange factor,Cytoplasm,Regulates actin cytoskeleton and cell motility.
ARHGEF19-AS1,No,Neither,Long Non-Coding Rna ,Non-coding RNA,Nucleus,Potential role in regulating gene expression via RNA interactions.
ANO7L1,No,Neither,,Protein,Plasma membrane,May be involved in ion transport or cell signaling.
CPLANE2,No,Neither,Cilia-Related ,Protein,Cilia and cytoplasm,Part of a molecular complex involved in cilia structure/function.
MT1XP1,No,Neither,,Metallothionein,Cytoplasm,Involved in metal ion binding and detoxification.
FBXO42,Yes,Neither,Ubiquitin-Proteasome ,Ubiquitin ligase,Cytoplasm,Regulates protein degradation and cell cycle progression.
SZRD1,No,Neither,,Protein,Nucleus,Potentially involved in gene regulation and chromatin remodeling.
RPL22P3,No,Neither,Ribosomal Biogenesis,Ribosomal protein,Nucleus,"Component of ribosomes, involved in protein synthesis."
SPATA21,No,Tumor suppressor,,Protein-coding,Cytoplasm,Involved in spermatogenesis; potential role in tumorigenesis.
NECAP2,Yes,Tumor suppressor,Cell Signaling,Protein-coding,Cytoplasm,Involved in vesicle trafficking and membrane dynamics.
LINC01772,No,Neither,,Non-coding RNA,Nucleus,Long intergenic non-coding RNA; potential regulatory roles.
CROCCP3,Yes,Oncogene,Cell Cycle Regulation,Protein-coding,Cytoplasm,Plays a role in cell proliferation and tumor development.
RNU1-1,No,Neither,Rna Processing,Non-coding RNA,Nucleus,Involved in U1 small nuclear RNA function in splicing.
LINC01783,No,Neither,,Non-coding RNA,Nucleus,Long intergenic non-coding RNA; may have regulatory functions.
PDE4DIPP8,Yes,Oncogene,Signal Transduction,Protein-coding,Cytoplasm,Involved in regulating cAMP signaling pathways.
NBPF1,No,Neither,,Protein-coding,Cytoplasm,Associated with neuronal development; potential links to cancers.
CROCCP2,Yes,Tumor suppressor,Cell Proliferation,Protein-coding,Cytoplasm,Involved in growth regulation; potential tumor suppressor.
MST1P2,No,Neither,,Non-coding RNA,Cytoplasm,Involved in signal transduction; potential implications in cancer.
RNU1-3,No,Neither,Rna Processing,Non-coding RNA,Nucleus,Forms part of the U1 small nuclear ribonucleoprotein.
EIF1AXP1,Yes,Oncogene,Protein Synthesis,Protein-coding,Cytoplasm,Enhances translation initiation; implicated in tumorigenesis.
ESPNP,No,Neither,,Non-coding RNA,Cytoplasm,Function not well characterized; may have regulatory roles.
CROCC,Yes,Oncogene,Cell Cycle Regulation,Protein-coding,Cytoplasm,Plays a role in cell cycle progression and tumor growth.
RNU1-4,No,Neither,Rna Processing,Non-coding RNA,Nucleus,Component of the U1 small nuclear ribonucleoprotein complex.
CROCCP4,Yes,Oncogene,Cell Cycle Regulation,Protein-coding,Cytoplasm,Involved in promoting cell division and growth.
MST1L,Yes,Tumor suppressor,Apoptosis And Survival,Protein-coding,Cytoplasm,Regulates cell death pathways; considered a tumor suppressor.
PDE4DIPP9,Yes,Neither,Signal Transduction,Protein-coding,Cytoplasm,Regulates inflammatory response; potential role in cancer.
MIR3675,No,Neither,,Non-coding RNA (miRNA),Nucleus,MicroRNA; involved in gene regulation and cell proliferation.
RNU1-2,No,Neither,Rna Processing,Non-coding RNA,Nucleus,Involved in splicing and RNA processing functions.
MFAP2,Yes,Tumor Suppressor,Ecm Regulation,Structural protein,Extracellular matrix,Involved in tissue structure and elasticity
ATP13A2,Yes,Tumor Suppressor,Lysosomal ,Enzyme,Lysosome,Regulates lysosomal function and metal ion homeostasis
SDHB,Yes,Tumor Suppressor,Mitochondrial Function,Enzyme (succinate dehydrogenase),Mitochondria,Involved in the TCA cycle and energy production
PADI2,No,Oncogene,"Several, Including Apoptosis",Enzyme (peptidyl arginine deiminase),Cytoplasm,Converts arginine residues to citrulline in proteins
LINC02783,No,-,,Non-coding RNA,Nucleus,"Long non-coding RNA, potential regulation of gene expression"
PADI1,No,Oncogene,"Several, Including Immune Response",Enzyme,Cytoplasm,"Similar role to PADI2, involved in protein modification"
PADI3,No,Oncogene,Inflammatory Response,Enzyme,Cytoplasm,Involved in post-translational modification
MIR3972,No,-,Microrna Regulation,MicroRNA,Cytoplasm,Regulates gene expression post-transcriptionally
PADI4,No,Oncogene,Several,Enzyme,Cytoplasm,"Function similar to PADI1, role in autoimmune diseases"
PADI6,No,Oncogene,Fertility And Reproduction,Enzyme,Cytoplasm,Involved in early embryonic development
RCC2,Yes,Oncogene,Cell Cycle Regulation,Rho guanine nucleotide exchange factor,Cytoplasm,Involved in the regulation of Rho GTPases
RCC2-AS1,No,-,,Non-coding RNA,Nucleus,"Associated with RCC2 regulation, role is largely undefined"
ARHGEF10L,No,-,Rho Gtpase Signaling,Guanine nucleotide exchange factor,Cytoplasm,Regulates processes involving cell motility
LINC02810,No,-,,Non-coding RNA,Nucleus,"Long non-coding RNA, potential regulatory role in gene expression"
ACTL8,No,-,Cytoskeleton Dynamics,Actin family protein,Cytoplasm,Involved in maintaining cytoskeletal integrity
LINC01654,No,-,,Non-coding RNA,Nucleus,Potential regulatory role in gene expression
IGSF21,No,-,Cell Adhesion,Immunoglobulin superfamily,Membrane,Role in cell adhesion and signaling
IGSF21-AS1,No,-,,Non-coding RNA,Nucleus,Long non-coding RNA associated with IGSF21
KLHDC7A,No,-,,Protein,Cytoplasm,Role in cellular processes not well defined
DYNLL1P3,No,-,,Non-coding RNA,Nucleus,"Predicted to regulate cell signaling, specifics unclear"
PAX7,Yes,Oncogene,"Wnt, Myogenic Differentiation",Transcription factor,Nucleus,Regulates myogenesis and muscle cell differentiation.
TAS1R2,No,-,Taste Perception,Receptor,Plasma Membrane,Involved in sweet taste signaling in sensory cells.
ALDH4A1,No,-,Amino Acid Metabolism,Enzyme,Mitochondria,Plays a role in the catabolism of amino acids.
MIR4695,No,-,Mirna ,Non-coding RNA,Nucleus,Regulates gene expression via RNA interference.
MIR1290,No,-,Mirna ,Non-coding RNA,Nucleus,Involved in regulation of gene expression and cellular processes.
IFFO2,No,-,,Protein,Nucleus,Involved in mitochondrial protein synthesis and translation regulation.
UBR4,Yes,Oncogene,Ubiquitin-Proteasome ,Ubiquitin ligase,Cytoplasm,Regulates protein degradation via the ubiquitin-proteasome pathway.
EMC1-AS1,No,-,,Long non-coding RNA,Nucleus,Involved in regulating gene expression and splicing.
EMC1,No,-,"Er Stress, Protein Folding",Membrane protein,Endoplasmic Reticulum,Involved in protein quality control in the ER.
MRTO4,No,-,Rna Processing And Decay,Protein,Cytoplasm,Participates in RNA metabolism and stability.
AKR7L,No,-,Hormone Biosynthesis,Enzyme,Cytoplasm,Involved in steroid metabolism and detoxification.
AKR7A3,No,-,Hormone Biosynthesis,Enzyme,Cytoplasm,Plays a role in the reduction of steroid hormones.
AKR7A2,No,-,Hormone Biosynthesis,Enzyme,Cytoplasm,Involved in the metabolism of various endogenous substrates.
RNU6-1099P,No,-,,Non-coding RNA,Nucleus,A small nuclear RNA (snRNA) involved in splicing of pre-mRNA.
SLC66A1,No,-,Metabolism,Transporter,Cell Membrane,Functions in the transport of various molecules across membranes.
CAPZB,No,-,"Muscle Development, Cytoskeleton",Actin-binding protein,Cytoplasm,Involved in actin filament dynamics and muscle contractility.
RN7SL277P,No,-,,Non-coding RNA,Nucleus,A small nuclear RNA (snRNA) associated with spliceosome complex.
RNU4-28P,No,-,,Non-coding RNA,Nucleus,"Part of the spliceosome complex, involved in mRNA splicing."
MICOS10-NBL1,No,-,Mitochondrial Dynamics,Protein,Mitochondria,Plays a role in mitochondrial membrane organization.
MICOS10,No,-,Mitochondrial Dynamics,Protein,Mitochondria,Involved in maintaining mitochondrial structure and function.
NBL1,No,Tumor suppressor,,Protein,"Cytoplasm, Nucleus",Involved in the regulation of Nodal signaling and development.
HTR6,No,Oncogene,Neurotransmitter Signaling ,GPCR,Plasma Membrane,Modulates serotonin signaling; implicated in mood regulation.
TMCO4,No,Unknown,,Membrane protein,Endoplasmic Reticulum,Role in calcium signaling and cellular homeostasis.
RNF186,No,Tumor suppressor,Wnt Signaling ,E3 Ubiquitin Ligase,Cytoplasm,Ubiquitin-protein ligase involved in protein degradation.
OTUD3,No,Unknown,,Deubiquitinating enzyme,Cytoplasm,"Involved in deubiquitination, may affect protein stability."
PLA2G2E,No,Tumor suppressor,Lipid Metabolism,Phospholipase A2,Cytoplasm,Hydrolyzes phospholipids to produce arachidonic acid.
RN7SL304P,No,Pseudogene,,Pseudogene,N/A,"Non-coding RNA, role not fully understood."
PLA2G2A,No,Tumor suppressor,Lipid Signaling,Phospholipase A2,Cytoplasm,Involved in inflammation and cell signaling.
PLA2G5,No,Unknown,Lipid Metabolism,Phospholipase A2,Cytoplasm,Associated with inflammatory processes; function less defined.
PLA2G2D,No,Tumor suppressor,Inflammation,Phospholipase A2,Cytoplasm,"Hydrolyzes membrane phospholipids, involved in immune response."
PLA2G2F,No,Oncogene,Cancer-Related Inflammation,Phospholipase A2,Cytoplasm,"Involved in the metabolism of fatty acids, may affect tumor microenvironment."
PLA2G2C,No,Tumor suppressor,Lipid Metabolism,Phospholipase A2,Cytoplasm,Role in hydrolyzing phospholipids; involved in cancer metastasis.
UBXN10,No,Oncogene,Cell Proliferation And Survival,Ubiquitin ligase,Cytoplasm,Regulates protein degradation and cell signaling.
LINC01757,No,Non-coding RNA,,Non-coding RNA,Nucleus,Regulatory role in gene expression; function not entirely understood.
VWA5B1,No,Unknown,,Von Willebrand factor A domain protein,Cytoplasm,Potential role in cell adhesion; not fully characterized in cancer.
LINC01141,No,Non-coding RNA,,Non-coding RNA,Nucleus,May play a role in regulatory networks; function in cancer not clear.
CAMK2N1,No,Tumor suppressor,Calcium Signaling,Calcium/Calmodulin-dependent kinase,Cytoplasm,"Involved in calcium signaling pathways, regulates diverse cellular functions."
MUL1,No,Unknown,Cellular Stress Responses,E3 Ubiquitin Ligase,Mitochondria,Regulates mitochondrial dynamics and plays a role in apoptosis.
RPS4XP4,No,Pseudogene,,Pseudogene,N/A,"Non-coding RNA, possibly involved in the regulation of ribosome architecture."
FAM43B,No,Unknown,,Unknown protein,Not well characterized,Limited information on function; potential roles in cellular processes under study.
CDA,No,Tumor Suppressor,,Enzyme (Cytidine deaminase),Cytoplasm,Involved in nucleotide metabolism.
PINK1,Yes,Tumor Suppressor,"Mitophagy, Parkinson's Disease",Kinase,Mitochondria,Protects cells from mitochondrial stress and regulates mitophagy.
PINK1-AS,No,N/A,,lncRNA,Nucleus,Regulatory role in gene expression and post-transcriptional regulation.
DDOST,Yes,Oncogene,Glycosylation ,Protein (glycosyltransferase),Endoplasmic Reticulum,Involved in protein glycosylation and cell signaling.
KIF17,No,Oncogene,,Motor protein,Cytoplasm,Involved in intracellular transport of vesicles.
SH2D5,Yes,Oncogene,Cell Signaling,Adaptors,Cytoplasm,Involved in signaling pathways and immune response.
HP1BP3,No,N/A,,Protein,Nucleus,Involved in chromatin structure and gene regulation
EIF4G3,Yes,Oncogene,Protein Synthesis ,Eukaryotic translation initiation factor,Cytoplasm,Plays a role in translation initiation.
RNU7-200P,No,N/A,,Non-coding RNA,Nucleus,Involved in RNA processing and splicing regulation.
MIR1256,No,N/A,,MicroRNA,Nucleus/Cytoplasm,Regulation of gene expression by targeting mRNAs.
